Original Source,Final Destination,Hop Count,Chain Length,Has Chain (2+ hops),Problematic (3+ hops),Permanent,Full Chain
/boiler-repairs-birmingham,/birmingham/boiler-repairs,1,2,NO,NO,YES,/boiler-repairs-birmingham → /birmingham/boiler-repairs
/boiler-servicing-birmingham,/birmingham/boiler-servicing,1,2,NO,NO,YES,/boiler-servicing-birmingham → /birmingham/boiler-servicing
/gas-safety-birmingham,/birmingham/gas-safety,1,2,NO,NO,YES,/gas-safety-birmingham → /birmingham/gas-safety
/selly-park-boiler-repairs,/selly-park/boiler-repairs,1,2,NO,NO,YES,/selly-park-boiler-repairs → /selly-park/boiler-repairs
/hall-green-boiler-repairs,/hall-green/boiler-repairs,1,2,NO,NO,YES,/hall-green-boiler-repairs → /hall-green/boiler-repairs
/acocks-green-boiler-repairs,/acocks-green/boiler-repairs,1,2,NO,NO,YES,/acocks-green-boiler-repairs → /acocks-green/boiler-repairs
/small-heath-boiler-repairs,/small-heath/boiler-repairs,1,2,NO,NO,YES,/small-heath-boiler-repairs → /small-heath/boiler-repairs
/erdington-boiler-repairs,/erdington/boiler-repairs,1,2,NO,NO,YES,/erdington-boiler-repairs → /erdington/boiler-repairs
/handsworth-boiler-repairs,/handsworth/boiler-repairs,1,2,NO,NO,YES,/handsworth-boiler-repairs → /handsworth/boiler-repairs
/emergency-boiler-repair,/contact,1,2,NO,NO,YES,/emergency-boiler-repair → /contact
/24-hour-boiler-repair,/contact,1,2,NO,NO,YES,/24-hour-boiler-repair → /contact
/gas-engineer,/services/gas-safety,1,2,NO,NO,YES,/gas-engineer → /services/gas-safety
/heating-engineer,/services/boiler-repairs,1,2,NO,NO,YES,/heating-engineer → /services/boiler-repairs
/selly-park/selly-park,/selly-park,1,2,NO,NO,YES,/selly-park/selly-park → /selly-park
/hall-green/hall-green,/hall-green,1,2,NO,NO,YES,/hall-green/hall-green → /hall-green
/acocks-green/acocks-green,/acocks-green,1,2,NO,NO,YES,/acocks-green/acocks-green → /acocks-green
/small-heath/small-heath,/small-heath,1,2,NO,NO,YES,/small-heath/small-heath → /small-heath
/erdington/erdington,/erdington,1,2,NO,NO,YES,/erdington/erdington → /erdington
/handsworth/handsworth,/handsworth,1,2,NO,NO,YES,/handsworth/handsworth → /handsworth
/birmingham/birmingham,/birmingham,1,2,NO,NO,YES,/birmingham/birmingham → /birmingham
/birmingham/birmingham/:path*,/birmingham/:path*,1,2,NO,NO,YES,/birmingham/birmingham/:path* → /birmingham/:path*
/services/boiler-repairs/boiler-repairs,/services/boiler-repairs,1,2,NO,NO,YES,/services/boiler-repairs/boiler-repairs → /services/boiler-repairs
/services/boiler-servicing/boiler-servicing,/services/boiler-servicing,1,2,NO,NO,YES,/services/boiler-servicing/boiler-servicing → /services/boiler-servicing
/services/gas-safety/gas-safety,/services/gas-safety,1,2,NO,NO,YES,/services/gas-safety/gas-safety → /services/gas-safety
/selly-park/selly-park/:path*,/selly-park/:path*,1,2,NO,NO,YES,/selly-park/selly-park/:path* → /selly-park/:path*
/hall-green/hall-green/:path*,/hall-green/:path*,1,2,NO,NO,YES,/hall-green/hall-green/:path* → /hall-green/:path*
/acocks-green/acocks-green/:path*,/acocks-green/:path*,1,2,NO,NO,YES,/acocks-green/acocks-green/:path* → /acocks-green/:path*
/Selly-Park,/selly-park,1,2,NO,NO,YES,/Selly-Park → /selly-park
/SELLY-PARK,/selly-park,1,2,NO,NO,YES,/SELLY-PARK → /selly-park
/Hall-Green,/hall-green,1,2,NO,NO,YES,/Hall-Green → /hall-green
/HALL-GREEN,/hall-green,1,2,NO,NO,YES,/HALL-GREEN → /hall-green
/Birmingham,/birmingham,1,2,NO,NO,YES,/Birmingham → /birmingham
/BIRMINGHAM,/birmingham,1,2,NO,NO,YES,/BIRMINGHAM → /birmingham
/Boiler-Repairs,/services/boiler-repairs,1,2,NO,NO,YES,/Boiler-Repairs → /services/boiler-repairs
/BOILER-REPAIRS,/services/boiler-repairs,1,2,NO,NO,YES,/BOILER-REPAIRS → /services/boiler-repairs
/wp-content/:path*,/,1,2,NO,NO,YES,/wp-content/:path* → /
/wp-admin/:path*,/,1,2,NO,NO,YES,/wp-admin/:path* → /
/admin/:path*,/,1,2,NO,NO,YES,/admin/:path* → /
/pages/:path*,/:path*,1,2,NO,NO,YES,/pages/:path* → /:path*
/site/:path*,/:path*,1,2,NO,NO,YES,/site/:path* → /:path*
/solihull/solihull,/solihull,1,2,NO,NO,YES,/solihull/solihull → /solihull
/solihull/solihull/:path*,/solihull/:path*,1,2,NO,NO,YES,/solihull/solihull/:path* → /solihull/:path*
/wolverhampton/wolverhampton,/wolverhampton,1,2,NO,NO,YES,/wolverhampton/wolverhampton → /wolverhampton
/wolverhampton/wolverhampton/:path*,/wolverhampton/:path*,1,2,NO,NO,YES,/wolverhampton/wolverhampton/:path* → /wolverhampton/:path*